INFO 2024-06-06 19:01:53,509 middleware User karan accessed /media/movie_images/Abigail_mVVuMac.jpeg
INFO 2024-06-06 19:01:53,516 middleware User karan accessed /media/movie_images/monkey_man_ver3_xlg_H0sPTRm.jpg
INFO 2024-06-06 19:01:59,420 middleware User karan accessed /admin/WatchIt/showtime/add/
INFO 2024-06-06 19:01:59,485 middleware User karan accessed /admin/jsi18n/
INFO 2024-06-06 19:02:24,217 middleware User karan accessed /admin/WatchIt/showtime/add/
INFO 2024-06-06 19:02:24,280 middleware User karan accessed /admin/WatchIt/showtime/
INFO 2024-06-06 19:02:24,333 middleware User karan accessed /media/movie_images/The-Idea-of-You-2.webp
INFO 2024-06-06 19:02:24,361 middleware User karan accessed /media/movie_images/madame_web_BhISAAe.jpg
INFO 2024-06-06 19:02:24,391 middleware User karan accessed /media/movie_images/Kingdom-of-the-Planet-of-the-Apes_Xr0Tc01.webp
INFO 2024-06-06 19:02:24,392 middleware User karan accessed /media/movie_images/Ghostbusters-Frozen-Empire.webp
INFO 2024-06-06 19:02:24,401 middleware User karan accessed /media/movie_images/fallguy_BjFHyuM.webp
INFO 2024-06-06 19:02:24,401 middleware User karan accessed /media/movie_images/Dune2_RfAxS2w.jpg
INFO 2024-06-06 19:02:24,407 middleware User karan accessed /media/movie_images/Abigail_mVVuMac.jpeg
INFO 2024-06-06 19:02:24,425 middleware User karan accessed /media/movie_images/monkey_man_ver3_xlg_H0sPTRm.jpg
INFO 2024-06-06 19:02:26,921 middleware User karan accessed /admin/WatchIt/showtime/add/
INFO 2024-06-06 19:02:26,969 middleware User karan accessed /admin/jsi18n/
INFO 2024-06-06 19:02:46,330 middleware User karan accessed /admin/WatchIt/showtime/add/
INFO 2024-06-06 19:02:46,391 middleware User karan accessed /admin/WatchIt/showtime/
INFO 2024-06-06 19:02:46,442 middleware User karan accessed /media/movie_images/The-Idea-of-You-2.webp
INFO 2024-06-06 19:02:46,469 middleware User karan accessed /media/movie_images/madame_web_BhISAAe.jpg
INFO 2024-06-06 19:02:46,485 middleware User karan accessed /media/movie_images/Ghostbusters-Frozen-Empire.webp
INFO 2024-06-06 19:02:46,489 middleware User karan accessed /media/movie_images/Kingdom-of-the-Planet-of-the-Apes_Xr0Tc01.webp
INFO 2024-06-06 19:02:46,491 middleware User karan accessed /media/movie_images/fallguy_BjFHyuM.webp
INFO 2024-06-06 19:02:46,497 middleware User karan accessed /media/movie_images/Dune2_RfAxS2w.jpg
INFO 2024-06-06 19:02:46,502 middleware User karan accessed /media/movie_images/Abigail_mVVuMac.jpeg
INFO 2024-06-06 19:02:46,520 middleware User karan accessed /media/movie_images/monkey_man_ver3_xlg_H0sPTRm.jpg
INFO 2024-06-06 19:02:51,202 middleware User karan accessed /
INFO 2024-06-06 19:02:51,299 middleware User karan accessed /media/movie_images/challengers.jpg
INFO 2024-06-06 19:02:51,335 middleware User karan accessed /media/movie_images/Mr_and_mrs_mahi.jpg
INFO 2024-06-06 19:03:01,652 middleware User karan accessed /movies/
INFO 2024-06-06 19:03:03,159 middleware User karan accessed /movies/
INFO 2024-06-06 19:03:05,569 middleware User karan accessed /movies/13/
INFO 2024-06-06 19:03:09,088 middleware User karan accessed /selectTickets/1/13/49/
INFO 2024-06-06 19:03:15,720 middleware User karan accessed /selectTickets/1/13/49/
INFO 2024-06-06 19:03:15,787 middleware User karan accessed /cinema/1/13/49/
INFO 2024-06-06 19:19:17,565 middleware User karan accessed /payment/1/
INFO 2024-06-06 19:19:28,979 middleware User karan accessed /process-payment/
INFO 2024-06-06 19:19:30,051 middleware User karan accessed /booking-success/
INFO 2024-06-06 19:19:31,548 middleware User karan accessed /your_bookings/
INFO 2024-06-06 19:19:31,603 middleware User karan accessed /media/movie_images/The-Idea-of-You-2.webp
INFO 2024-06-06 19:19:41,122 middleware User karan accessed /edit_showtime/29/13/1/
INFO 2024-06-06 19:20:46,362 middleware User karan accessed /your_bookings/
INFO 2024-06-06 19:21:06,812 middleware User karan accessed /your_bookings/
INFO 2024-06-06 19:22:35,435 middleware User karan accessed /edit_showtime/29/13/1/
INFO 2024-06-06 19:22:38,540 middleware User karan accessed /edit_showtime/29/13/1/
INFO 2024-06-06 19:23:28,055 middleware User karan accessed /edit_showtime/29/13/1/
INFO 2024-06-06 19:23:29,139 middleware User karan accessed /edit_showtime/29/13/1/
INFO 2024-06-06 19:23:30,960 middleware User karan accessed /edit_showtime/29/13/1/
INFO 2024-06-06 19:23:36,398 middleware User karan accessed /your_bookings/
INFO 2024-06-06 19:23:39,073 middleware User karan accessed /edit_showtime/29/13
INFO 2024-06-06 19:26:09,576 middleware User karan accessed /edit_showtime/29/13
INFO 2024-06-06 19:26:23,810 middleware User karan accessed /your_bookings/
INFO 2024-06-06 19:26:26,753 middleware User karan accessed /edit_showtime/29/13/1/
INFO 2024-06-06 19:27:10,486 middleware User karan accessed /edit_showtime/29/13/1/
INFO 2024-06-06 19:31:26,715 middleware User karan accessed /edit_showtime/29/13/1/
INFO 2024-06-06 19:31:36,652 middleware User karan accessed /edit_showtime/29/13/1/
INFO 2024-06-06 21:28:22,888 middleware User karan accessed /
INFO 2024-06-06 21:28:23,068 middleware User karan accessed /media/movie_images/monkey_man_ver3_xlg_H0sPTRm.jpg
INFO 2024-06-06 21:28:23,083 middleware User karan accessed /media/movie_images/Abigail_mVVuMac.jpeg
INFO 2024-06-06 21:28:23,145 middleware User karan accessed /media/movie_images/Dune2_RfAxS2w.jpg
INFO 2024-06-06 21:28:23,157 middleware User karan accessed /media/movie_images/fallguy_BjFHyuM.webp
INFO 2024-06-06 21:28:23,471 middleware User karan accessed /media/movie_images/Kingdom-of-the-Planet-of-the-Apes_Xr0Tc01.webp
INFO 2024-06-06 21:28:23,556 middleware User karan accessed /media/movie_images/Ghostbusters-Frozen-Empire.webp
INFO 2024-06-06 21:28:23,585 middleware User karan accessed /media/movie_images/kungfupanda4_Dkck2NN.jpg
INFO 2024-06-06 21:28:23,646 middleware User karan accessed /media/movie_images/madame_web_BhISAAe.jpg
INFO 2024-06-06 21:28:23,674 middleware User karan accessed /media/movie_images/The-Idea-of-You-2.webp
INFO 2024-06-06 21:28:23,674 middleware User karan accessed /media/movie_images/challengers.jpg
INFO 2024-06-06 21:28:23,674 middleware User karan accessed /media/movie_images/madmax_sAnUEiZ.jpeg
INFO 2024-06-06 21:28:23,690 middleware User karan accessed /media/movie_images/Mr_and_mrs_mahi.jpg
INFO 2024-06-06 21:31:28,155 middleware User karan accessed /
INFO 2024-06-06 21:31:28,306 middleware User karan accessed /media/movie_images/monkey_man_ver3_xlg_H0sPTRm.jpg
INFO 2024-06-06 21:31:28,320 middleware User karan accessed /media/movie_images/Abigail_mVVuMac.jpeg
INFO 2024-06-06 21:31:28,376 middleware User karan accessed /media/movie_images/Dune2_RfAxS2w.jpg
INFO 2024-06-06 21:31:28,499 middleware User karan accessed /media/movie_images/fallguy_BjFHyuM.webp
INFO 2024-06-06 21:31:28,560 middleware User karan accessed /media/movie_images/Kingdom-of-the-Planet-of-the-Apes_Xr0Tc01.webp
INFO 2024-06-06 21:31:28,570 middleware User karan accessed /media/movie_images/Ghostbusters-Frozen-Empire.webp
INFO 2024-06-06 21:31:28,640 middleware User karan accessed /media/movie_images/kungfupanda4_Dkck2NN.jpg
INFO 2024-06-06 21:31:28,640 middleware User karan accessed /media/movie_images/madame_web_BhISAAe.jpg
INFO 2024-06-06 21:31:28,646 middleware User karan accessed /media/movie_images/madmax_sAnUEiZ.jpeg
INFO 2024-06-06 21:31:28,646 middleware User karan accessed /media/movie_images/The-Idea-of-You-2.webp
INFO 2024-06-06 21:31:28,654 middleware User karan accessed /media/movie_images/challengers.jpg
INFO 2024-06-06 21:31:28,663 middleware User karan accessed /media/movie_images/Mr_and_mrs_mahi.jpg
INFO 2024-06-06 21:31:33,979 middleware User karan accessed /your_bookings/
INFO 2024-06-06 21:31:40,403 middleware User karan accessed /edit_showtime/29/13/1/
INFO 2024-06-06 21:37:49,411 middleware User karan accessed /edit_showtime/
INFO 2024-06-06 21:37:56,153 middleware User karan accessed /edit_showtime/29/13/1/
INFO 2024-06-06 21:37:56,253 middleware User karan accessed /edit_seats/29/49/1/
INFO 2024-06-06 21:38:02,758 middleware User karan accessed /
INFO 2024-06-06 21:38:02,901 middleware User karan accessed /media/movie_images/monkey_man_ver3_xlg_H0sPTRm.jpg
INFO 2024-06-06 21:38:02,915 middleware User karan accessed /media/movie_images/Abigail_mVVuMac.jpeg
INFO 2024-06-06 21:38:02,982 middleware User karan accessed /media/movie_images/Dune2_RfAxS2w.jpg
INFO 2024-06-06 21:38:02,993 middleware User karan accessed /media/movie_images/fallguy_BjFHyuM.webp
INFO 2024-06-06 21:38:03,067 middleware User karan accessed /media/movie_images/Kingdom-of-the-Planet-of-the-Apes_Xr0Tc01.webp
INFO 2024-06-06 21:38:03,132 middleware User karan accessed /media/movie_images/Ghostbusters-Frozen-Empire.webp
INFO 2024-06-06 21:38:03,217 middleware User karan accessed /media/movie_images/kungfupanda4_Dkck2NN.jpg
INFO 2024-06-06 21:38:03,304 middleware User karan accessed /media/movie_images/madame_web_BhISAAe.jpg
INFO 2024-06-06 21:38:03,320 middleware User karan accessed /media/movie_images/madmax_sAnUEiZ.jpeg
INFO 2024-06-06 21:38:03,336 middleware User karan accessed /media/movie_images/challengers.jpg
INFO 2024-06-06 21:38:03,344 middleware User karan accessed /media/movie_images/Mr_and_mrs_mahi.jpg
INFO 2024-06-06 21:38:06,610 middleware User karan accessed /admin
INFO 2024-06-06 21:38:06,814 middleware User karan accessed /admin/
INFO 2024-06-06 21:38:56,967 middleware User karan accessed /admin/WatchIt/booking/
INFO 2024-06-06 21:39:03,868 middleware User karan accessed /admin/WatchIt/booking/29/change/
INFO 2024-06-06 21:39:04,014 middleware User karan accessed /admin/jsi18n/
INFO 2024-06-06 21:39:06,019 middleware User karan accessed /admin/WatchIt/booking/29/delete/
INFO 2024-06-06 21:39:06,957 middleware User karan accessed /admin/WatchIt/booking/29/delete/
INFO 2024-06-06 21:39:07,098 middleware User karan accessed /admin/WatchIt/booking/
INFO 2024-06-06 21:39:17,476 middleware User karan accessed /
INFO 2024-06-06 21:39:17,608 middleware User karan accessed /media/movie_images/monkey_man_ver3_xlg_H0sPTRm.jpg
INFO 2024-06-06 21:39:17,624 middleware User karan accessed /media/movie_images/Abigail_mVVuMac.jpeg
INFO 2024-06-06 21:39:17,698 middleware User karan accessed /media/movie_images/Dune2_RfAxS2w.jpg
INFO 2024-06-06 21:39:17,714 middleware User karan accessed /media/movie_images/fallguy_BjFHyuM.webp
INFO 2024-06-06 21:39:17,790 middleware User karan accessed /media/movie_images/Kingdom-of-the-Planet-of-the-Apes_Xr0Tc01.webp
INFO 2024-06-06 21:39:17,800 middleware User karan accessed /media/movie_images/Ghostbusters-Frozen-Empire.webp
INFO 2024-06-06 21:39:17,805 middleware User karan accessed /media/movie_images/kungfupanda4_Dkck2NN.jpg
INFO 2024-06-06 21:39:17,821 middleware User karan accessed /media/movie_images/madmax_sAnUEiZ.jpeg
INFO 2024-06-06 21:39:17,857 middleware User karan accessed /media/movie_images/challengers.jpg
INFO 2024-06-06 21:39:17,886 middleware User karan accessed /media/movie_images/Mr_and_mrs_mahi.jpg
INFO 2024-06-06 21:39:17,903 middleware User karan accessed /media/movie_images/madame_web_BhISAAe.jpg
INFO 2024-06-06 21:39:38,574 middleware User karan accessed /movies/
INFO 2024-06-06 21:39:38,700 middleware User karan accessed /media/movie_images/deadpool_4gEFavb.jpg
INFO 2024-06-06 21:39:38,706 middleware User karan accessed /media/movie_images/Venom-The-Last-Dance-Trailer.png
INFO 2024-06-06 21:39:42,698 middleware User karan accessed /movies/
INFO 2024-06-06 21:39:44,508 middleware User karan accessed /movies/
INFO 2024-06-06 21:39:45,983 middleware User karan accessed /movies/13/
INFO 2024-06-06 21:39:51,903 middleware User karan accessed /selectTickets/1/13/49/
INFO 2024-06-06 21:39:54,038 middleware User karan accessed /selectTickets/1/13/49/
INFO 2024-06-06 21:39:54,229 middleware User karan accessed /cinema/1/13/49/
INFO 2024-06-06 21:39:57,025 middleware User karan accessed /payment/1/
INFO 2024-06-06 21:43:01,446 middleware User karan accessed /payment/1/
INFO 2024-06-06 21:43:22,627 middleware User karan accessed /movies/
INFO 2024-06-06 21:43:24,023 middleware User karan accessed /movies/13/
INFO 2024-06-06 21:43:30,781 middleware User karan accessed /selectTickets/1/13/49/
INFO 2024-06-06 21:43:32,795 middleware User karan accessed /selectTickets/1/13/49/
INFO 2024-06-06 21:43:32,883 middleware User karan accessed /cinema/1/13/49/
INFO 2024-06-06 21:43:38,502 middleware User karan accessed /selectTickets/1/13/49/
INFO 2024-06-06 21:43:38,596 middleware User karan accessed /cinema/1/13/49/
INFO 2024-06-06 21:43:41,245 middleware User karan accessed /payment/1/
INFO 2024-06-06 21:45:30,099 middleware User karan accessed /payment/1/
INFO 2024-06-06 21:45:38,326 middleware User karan accessed /payment/1/
INFO 2024-06-06 21:47:09,939 middleware User karan accessed /payment/1/
INFO 2024-06-06 21:47:15,520 middleware User karan accessed /selectTickets/1/13/49/
INFO 2024-06-06 21:47:18,566 middleware User karan accessed /selectTickets/1/13/49/
